id,like_num,comments_len,reposts_count,region,content,content_len,created_at,type,detail_url,author_avatar,author_name,author_detail,is_vip
5025590018572828,489,3,28,重庆,Lamborghini Revuelto 🦇🔥 ​,29,2024-04-21 13:31:34,热门,https://weibo.com/5025590018572828/OaJIdzYbq,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/bbc3c03aly8hddi2bg8osj20u00u0gra.jpg?KID=imgbed,tva&Expires=1714762430&ssig=iBCdRBYBYX",康仁秋,/u/3150168122,0
5028986346281084,3459,840,58,广东,"老蒋的劳力士，真奢侈。
同时期的毛主席，一条浴袍补十几个补丁。[赞] ​",65,2024-04-30 22:27:22,热门,https://weibo.com/5028986346281084/Oca4aqlZO,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/008yp4y7ly8hfjom8211tj30u00u0q5p.jpg?KID=imgbed,tva&Expires=1714762430&ssig=RIJodM92EA",深圳陶玥,/u/7837433771,0
5005978405177754,10295,1793,233,澳大利亚,华为终于不是单枪匹马的了… ​,26,2024-02-27 10:42:01,热门,https://weibo.com/5005978405177754/O2vwAlIYa,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/77ecc995ly8hhdjw75e1lj20e80e8dfz.jpg?KID=imgbed,tva&Expires=1714762430&ssig=RFwf70R4cy",武汉潘唯杰,/u/2012006805,1
5029680298066391,5415,908,250,北京,"五一到乐山怎么玩？
从街头吃到巷尾；历经千年的沧桑，看古今对话一眼万年；逃离城市的喧嚣，与大自然来个亲密拥抱……
http://t.cn/A6TeT7b0 @乐山文旅 ​",142,2024-05-02 20:24:52,热门,https://weibo.com/5029680298066391/Ocs7rxQr5,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/001Un9Srly8h3fpj11yjyj60u00u0q7f02.jpg?KID=imgbed,tva&Expires=1714762430&ssig=FNMncLBFkr",雷军,/u/1749127163,0
5029545795392873,1496,94,41,山东,多报道报道这样的画面，我们想看。 ​,35,2024-05-02 11:30:25,热门,https://weibo.com/5029545795392873/OcoCvmCVP,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005N9GuZly8gt1shrxmwmj30u00u075l.jpg?KID=imgbed,tva&Expires=1714762430&ssig=sAFnbhvGGw",-四分三十三秒-,/u/5307012945,1
5028220657207053,626,329,15,北京,60 万预算，家里两个孩子，以下这两台车目前是我发现最完美的解决方案，欢迎举一反三。 ​,81,2024-04-28 19:44:47,热门,https://weibo.com/5028220657207053/ObQ9bueSN,"https://tvax1.sinaimg.cn/crop.3.16.383.383.180/423ab0c3ly8gdi90j4493j20b40b440u.jpg?KID=imgbed,tva&Expires=1714762430&ssig=Z2nnbCvf25",李老鼠说车,/u/1111142595,1
5029330177229286,139,40,2,河北,"拥有""特殊技能""的10位明星。

·第一位：郑恺，二级短跑运动员。
·第二位：刘涛，赛车比赛冠军还是跆拳道黑带。
·第三位：倪妮，J二级游泳运动员。
·第四位：吴奇隆，跆拳道黑带五段。
·第五位：夏雨，滑板达人比赛冠军。
·第六位：张凯丽，短道速滑运动员。
·第七位：王嘉尔，击剑运动员，曾获得冠军。 ​",479,2024-05-01 21:13:37,热门,https://weibo.com/5029330177229286/Ocj0JukFo,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/007gWadqly8gic9yc9ri3j30u00u0dhi.jpg?KID=imgbed,tva&Expires=1714762430&ssig=qmGGFZfwFo",毛三老实人,/u/6663213496,1
5028796900050579,3917,485,358,未知,【中国驱离菲律宾侵闯黄岩岛邻近海域船只】今日，中国海警依法对菲律宾侵闯黄岩岛邻近海域的4410海警船、3004公务船实施驱离。（总台央视记者国鹏）http://t.cn/A6TDbFpC ​​​,165,2024-04-30 09:54:34,热门,https://weibo.com/5028796900050579/Oc58C0d9N,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/002TLsr9ly8hmxa6f543uj60go0gowfl02.jpg?KID=imgbed,tva&Expires=1714762430&ssig=V68N107sDW",央视新闻,/u/2656274875,0
5021654946416298,1860,213,93,河南,虽然很可怕，但山羊只是在杀死寄生虫而已 http://t.cn/A6TKuoPr ​,59,2024-04-10 16:55:00,热门,https://weibo.com/5021654946416298/O95lkqVaG,"https://tva1.sinaimg.cn/crop.0.0.996.996.180/69cc290fjw8favi9hptw1j20ro0rojt0.jpg?KID=imgbed,tva&Expires=1714762430&ssig=5GCrOBGKUz",李苦舟,/u/1774987535,1
5011876460627321,136,137,4,河北,"华为：我们不造车，帮企业造好车。
提问，为什么华为不下场造车？ ​",64,2024-03-14 17:18:47,热门,https://weibo.com/5011876460627321/O4YXA2Dc5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006eKnyFly8hc6mn2iyg1j30u00u0q41.jpg?KID=imgbed,tva&Expires=1714762430&ssig=RhjcEXIOvW",Oneline科技,/u/5714719345,1
